="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="660","Mapel, Eddie",="200",="101787970",="200 IM LCM",="20",="2:06.43",="2:06.43",="2019 Winter US Open (LCM)",="November Invite",="11/20/2015",="Unattached",="MV",="",="873",="75"
="660","McKee, Tommy",="200",="65063191",="200 IM LCM",="19",="2:06.43",="2:06.43",="2020 Olympic Trials",="2012 NC Ultra Swim Mid Afternoon Meet",="5/10/2012",="Unattached",="MA",="",="873",="75"
="660","Minuth, Fynn",="200",="96244524",="200 IM LCM",="17",="2:06.43",="2:06.43",="2019 Winter US Open (LCM)",="127th German Championships",="4/11/2015",="Unattached",="AM",="Yes",="885",="75"
="666","Messner, Michael",="200",="96001299",="200 IM LCM",="18",="2:06.44",="2:06.44",="2019 Winter US Open (LCM)",="2015 FL NASA Junior National Cham",="3/25/2015",="Unattached",="PC",="",="873",="75"
="667","Barrena, Javier",="200",="78096481",="200 IM LCM",="16",="2:06.45",="2:06.45",="2019 Winter US Open (LCM)",="Spanish Summer Championships",="7/23/2013",="Unattached",="FL",="Yes",="932",="75"
="667","Shapira Bar-Or, Nim",="200",="76185503",="200 IM LCM",="24",="2:06.45",="2:06.45",="2019 Winter US Open (LCM)",="Mare Nostrum",="6/11/2013",="Unattached",="AZ",="Yes",="872",="75"
="669","Carbone, Drew",="200",="135483477",="200 IM LCM",="19",="2:06.46",="2:06.46",="2019 Winter US Open (LCM)",="2018 Winter Nationals",="11/29/2018",="Unattached",="NE",="",="872",="75"
="669","Sievers, Markus",="200",="58253263",="200 IM LCM",="23",="2:06.46",="2:06.46",="2020 Olympic Trials",="2011 Summer Nationals",="8/2/2011",="Ohio State University",="OH",="Yes",="872",="75"
="671","Chua, Min Zhi",="200",="121678995",="200 IM LCM",="17",="2:06.47",="2:06.47",="2019 Winter US Open (LCM)",="2017 Futures - Santa Clara",="8/6/2017",="Mission Viejo Nadadores",="CA",="",="884",="75"
="671","Fischer, Brandon",="200",="57728296",="200 IM LCM",="22",="2:06.47",="2:06.47",="2020 Olympic Trials",="2011 OR Speedo Western Section LC",="7/19/2011",="Wyoming Aquatics",="WY",="",="872",="75"
="671","Ho, Benjamin",="200",="110501116",="200 IM LCM",="18",="2:06.47",="2:06.47",="2019 Winter US Open (LCM)",="2016 Futures - Palo Alto",="8/7/2016",="Palo Alto Stanford Aquatics",="PC",="",="872",="75"
="674","Nicely, William",="200",="65947277",="200 IM LCM",="18",="2:06.48",="2:06.48",="2020 Olympic Trials",="2012 VA Poseidon Senior Time T",="6/17/2012",="Quest Swimming",="VA",="",="872",="75"
="674","Rothrock, Gus",="200",="143863876",="200 IM LCM",="17",="2:06.48",="2:06.48",="2019 Winter US Open (LCM)",="2019 Summer Junior Nats",="8/10/2019",="Carmel Swim Club",="IN",="",="883",="75"
="676","Hanna, Blake",="200",="143231627",="200 IM LCM",="20",="2:06.49",="2:06.49",="2019 Winter US Open (LCM)",="2019 Sectionals -Cleveland",="7/21/2019",="Bearcat Aquatics",="OH",="",="872",="75"
="676","Hesen, Ben",="200",="60330323",="200 IM LCM",="25",="2:06.49",="2:06.49",="2020 Olympic Trials",="2011 Winter Nationals",="12/1/2011",="Unattached",="IN",="",="872",="75"
="676","Hoyt, Trevor",="200",="57535242",="200 IM LCM",="20",="2:06.49",="2:06.49",="2020 Olympic Trials",="2011 CA Los Angeles Invitational",="7/14/2011",="California Aquatics",="PC",="",="872",="75"
="679","Van Gorp, Ian",="200",="143759245",="200 IM LCM",="17",="2:06.50",="2:06.50",="2019 Winter US Open (LCM)",="2019 Futures - Geneva",="8/4/2019",="Mason Manta Rays",="OH",="",="883",="75"
="680","Ringquist, Austin",="200",="49357088",="200 IM LCM",="18",="2:06.51",="2:06.51",="2020 Olympic Trials",="2010 Youth Olympics",="8/15/2010",="Hillsboro Swim Team",="OR",="",="871",="75"
="680","Skjaerpe, Rasmus",="200",="108060758",="200 IM LCM",="20",="2:06.51",="2:06.51",="2019 Winter US Open (LCM)",="2016 ST TXLA Longhorn Aquatics Elite Invite",="6/5/2016",="Tucson Ford Dealers Aquatics",="AZ",="Yes",="871",="75"
="680","Workman, Sean",="200",="99519846",="200 IM LCM",="18",="2:06.51",="2:06.51",="2019 Winter US Open (LCM)",="2015 LC Y Nationals w TT",="8/7/2015",="Edwardsville YMCA",="OZ",="",="871",="75"
="683","Dacosta, Paige",="200",="135476244",="200 IM LCM",="17",="2:06.52",="2:06.52",="2019 Winter US Open (LCM)",="2018 Winter Nationals",="11/29/2018",="Pleasanton Seahawks",="PC",="",="883",="75"
="683","Levant, Jack",="200",="121093552",="200 IM LCM",="17",="2:06.52",="2:06.52",="2019 Winter US Open (LCM)",="2017 CA  Los Angeles Invite ",="7/16/2017",="North Texas Nadadores",="NT",="",="883",="75"
="683","Montes De Oca, Nick",="200",="58252397",="200 IM LCM",="19",="2:06.52",="2:06.52",="2020 Olympic Trials",="2011 Summer Nationals",="8/2/2011",="University of Virginia Aquatics",="VA",="",="871",="75"
="686","Hayes, Ben",="200",="143427451",="200 IM LCM",="19",="2:06.53",="2:06.53",="2019 Winter US Open (LCM)",="2019 Sectionals - Santa Clara",="7/21/2019",="California Aquatics",="PC",="",="871",="75"
="686","Jones, Parks",="200",="109836147",="200 IM LCM",="19",="2:06.53",="2:06.53",="2019 Winter US Open (LCM)",="2016 CA  Los Angeles Invite",="7/14/2016",="Tucson Ford Dealers Aquatics",="AZ",="",="871",="75"
="686","Kastigar, Adam",="200",="99425054",="200 IM LCM",="21",="2:06.53",="2:06.53",="2019 Winter US Open (LCM)",="2015 IN FUTURES West Lafayette 2015",="8/2/2015",="Aberdeen Swim Club",="SD",="",="871",="75"
="686","Trujillo, Jack",="200",="143863931",="200 IM LCM",="17",="2:06.53",="2:06.53",="2019 Winter US Open (LCM)",="2019 Summer Junior Nats",="8/10/2019",="Irvine Novaquatics",="CA",="",="882",="75"
="686","Zupan, Nejc",="200",="81343859",="200 IM LCM",="22",="2:06.53",="2:06.53",="2019 Winter US Open (LCM)",="MM Maribor 2013",="12/21/2013",="Unattached",="NE",="Yes",="871",="75"
="691","Harlan, Josh",="200",="129360534",="200 IM LCM",="17",="2:06.54",="2:06.54",="2019 Winter US Open (LCM)",="Irish Open Swimming Championsh",="4/7/2018",="Vipers of Albuquerque Swim Team",="NM",="",="882",="75"
="691","Wilson, Andrew",="200",="140436195",="200 IM LCM",="25",="2:06.54",="2:06.54",="2019 Winter US Open (LCM)",="2019 Pro Series - Richmond",="4/13/2019",="Athens Bulldog Swim Club",="GA",="",="871",="75"
="693","Ipsen, Anton",="200",="108542806",="200 IM LCM",="21",="2:06.55",="2:06.55",="2019 Winter US Open (LCM)",="2016 NC GCY Sprint and Distanc",="6/11/2016",="NC State University",="NC",="Yes",="870",="75"
="693","Martins, Lucca",="200",="121193607",="200 IM LCM",="19",="2:06.55",="2:06.55",="2019 Winter US Open (LCM)",="2017 NC LC SR Championships",="7/23/2017",="Wolfpack Elite",="NC",="",="870",="75"
="693","Mudd, Austin",="200",="49216663",="200 IM LCM",="20",="2:06.55",="2:06.55",="2020 Olympic Trials",="2010 Summer Nationals",="8/3/2010",="Southeastern Swim Club",="IN",="",="870",="75"
