="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1814","Jensen, Eric",="200",="77887133",="200 FL LCM",="18",="2:08.10",="2:08.10",="2019 Winter Juniors (SCY)",="2013 Summer Junior Nats ",="8/5/2013",="Upper Dublin Aquatic Club",="MA",="",="773",="73"
="1814","Pryor, Vinny",="200",="48782789",="200 FL LCM",="22",="2:08.10",="2:08.10",="""AAAA""",="2010 GA Long Course Speedo Champi",="7/15/2010",="North Carolina Aquatic Club",="NC",="",="773",="73"
="1814","Ramirez, Antonio",="200",="87407302",="200 FL LCM",="16",="2:08.10",="2:08.10",="2019 Winter Juniors (SCY)",="2014 AZ LC Senior State Championship",="7/3/2014",="Arizona Gold Swimming",="AZ",="",="811",="73"
="1814","Schwers, Michael",="200",="132385940",="200 FL LCM",="19",="2:08.10",="2:08.10",="2019 Winter Juniors (SCY)",="2018 Sectionals - Iowa City",="7/19/2018",="Fox Valley Swim Team",="IL",="",="773",="73"
="1819","Kuwahara, Ryota",="200",="77338738",="200 FL LCM",="19",="2:08.11",="2:08.11",="2019 Winter Juniors (SCY)",="2013 MN Twin LC Speedo Championship",="7/17/2013",="Unattached",="IL",="",="773",="73"
="1820","Krause, Billy",="200",="58261189",="200 FL LCM",="20",="2:08.12",="2:08.12",="""AAAA""",="2011 Nationals TT",="8/2/2011",="Bison Aquatics Club",="MA",="",="773",="73"
="1820","Lause, Matt",="200",="77858716",="200 FL LCM",="16",="2:08.12",="2:08.12",="2019 Winter Juniors (SCY)",="2013 NCSA Summer Swimming Cham",="7/30/2013",="The Woodlands Swim Team",="GU",="",="810",="73"
="1820","Om, John",="200",="88749447",="200 FL LCM",="17",="2:08.12",="2:08.12",="2019 Winter Juniors (SCY)",="2014 YMCA National Long Course",="8/1/2014",="Lakeland Hills  YMCA",="NJ",="",="781",="73"
="1820","Rodriguez, Jason",="200",="67696930",="200 FL LCM",="15",="2:08.12",="2:08.12",="2019 Winter Juniors (SCY)",="2012 North American Challenge",="8/2/2012",="Irvine Novaquatics",="CA",="",="854",="73"
="1820","Steele, Charles",="200",="77856534",="200 FL LCM",="16",="2:08.12",="2:08.12",="2019 Winter Juniors (SCY)",="2013 GU TWST Sectional Champs",="7/30/2013",="Power For Life",="GU",="",="810",="73"
="1820","Stumph, Steven",="200",="75623694",="200 FL LCM",="19",="2:08.12",="2:08.12",="2019 Winter Juniors (SCY)",="2013 Pro Series - Santa Clara ",="5/30/2013",="Orinda Aquatics",="PC",="",="773",="73"
="1820","Vela, Evan",="200",="132308497",="200 FL LCM",="18",="2:08.12",="2:08.12",="2019 Winter Juniors (SCY)",="2018 SE Southeastern LC Champi",="7/21/2018",="Huntsville Swim Association",="SE",="",="773",="73"
="1827","Korndorffer, Charles",="200",="146175496",="200 FL LCM",="19",="2:08.13",="2:08.13",="2019 Futures",="2019 Ohio State Fall Open Invi",="11/23/2019",="Unattached",="LA",="",="773",="73"
="1827","Limm, Henry",="200",="106740465",="200 FL LCM",="18",="2:08.13",="2:08.13",="2019 Winter Juniors (SCY)",="2016 Sectionals - Federal Way",="3/17/2016",="South Snohomish Co. Dolphins",="PN",="",="773",="73"
="1827","Manera, Noah",="200",="110511102",="200 FL LCM",="17",="2:08.13",="2:08.13",="2019 Winter Juniors (SCY)",="2016 Futures - Atlanta",="8/6/2016",="Blue Wave Swimming",="FL",="",="781",="73"
="1830","Catanese, Ben",="200",="49247546",="200 FL LCM",="19",="2:08.14",="2:08.14",="""AAAA""",="2010 NI Speedo Champions Series",="8/5/2010","Burkwood Aquatic Club, Inc",="VA",="",="773",="73"
="1831","Brand, Will",="200",="98790224",="200 FL LCM",="19",="2:08.15",="2:08.15",="2019 Winter Juniors (SCY)",="2015 MV Region VIII Summer Sectionals",="7/17/2015",="Missouri State Aquatics",="MV",="",="773",="73"
="1831","Calder, Danny",="200",="132849933",="200 FL LCM",="17",="2:08.15",="2:08.15",="2019 Winter Juniors (SCY)",="2018 Zone Senior Champs - Buffalo",="8/4/2018",="All Star Aquatics",="PV",="",="780",="73"
="1831","Hall, Colton",="200",="135485963",="200 FL LCM",="20",="2:08.15",="2:08.15",="2019 Futures",="2018 Winter Nationals",="12/1/2018",="Kingfish Swimming",="NE",="",="773",="73"
="1831","Loftus, Joe",="200",="64057535",="200 FL LCM",="16",="2:08.15",="2:08.15",="2019 Winter Juniors (SCY)",="2012 Speedo Champions Series - West",="3/8/2012",="Coeur D'alene Area Swim Team",="IE",="",="810",="73"
="1831","Taulbee, Jake",="200",="143534184",="200 FL LCM",="17",="2:08.15",="2:08.15",="2019 Futures",="2019 GA Senior State Champ",="7/27/2019",="SwimAtlanta",="GA",="",="780",="73"
="1836","Allmon, Jackson",="200",="110262382",="200 FL LCM",="16",="2:08.16",="2:08.16",="2019 Winter Juniors (SCY)",="2016 MW Midwestern Long Course",="7/31/2016",="Council Bluffs Swim Club",="MW",="",="810",="73"
="1836","Gould, Gavin",="200",="143829584",="200 FL LCM",="17",="2:08.16",="2:08.16",="2019 Futures",="2019 Zone AG Champs -Fresno ",="7/31/2019",="Sandpipers Of Nevada",="CA",="",="780",="73"
="1836","Pryor, Michael",="200",="56973472",="200 FL LCM",="20",="2:08.16",="2:08.16",="""AAAA""",="2011 SE NAC Summer Sizzler",="6/24/2011",="Cardinal Aquatics",="KY",="",="772",="73"
="1839","Crumley, Kevin",="200",="88508716",="200 FL LCM",="18",="2:08.17",="2:08.17",="2019 Winter Juniors (SCY)",="2014 FL Southern Zone Senior LC C",="7/29/2014",="Team Greenville",="SC",="",="772",="73"
="1839","Lehman, Calum",="200",="110594039",="200 FL LCM",="16",="2:08.17",="2:08.17",="2019 Winter Juniors (SCY)",="2016 CC Western Zone Senior Championships TT_A",="8/4/2016",="Pikes Peak Athletics",="CO",="",="809",="73"
="1841","Bitara, Matt",="200",="67737213",="200 FL LCM",="17",="2:08.18",="2:08.18",="2019 Winter Juniors (SCY)",="2012 GU TWST SCS LC Sectional",="7/31/2012",="Aggie Swim Club",="GU",="",="780",="73"
="1841","Casey, Colin",="200",="143453430",="200 FL LCM",="20",="2:08.18",="2:08.18",="2019 Futures",="2019 CA  Los Angeles Invite",="7/12/2019",="Trojan Swim Club",="CA",="",="772",="73"
="1841","Garriga, Alex",="200",="92645830",="200 FL LCM",="18",="2:08.18",="2:08.18",="2019 Winter Juniors (SCY)",="2015 Pro Series - Austin",="1/17/2015",="Alamo Area Aquatic Association",="ST",="",="772",="73"
="1841","Kerekjarto, Tamas",="200",="98994187",="200 FL LCM",="36",="2:08.18",="2:08.18",="2019 Winter Juniors (SCY)",="2015 GU FCST Summer Champs ",="7/17/2015",="Houston Cougar Aquatic Sports",="GU",="Yes",="772",="73"
="1841","Orihuela, Carlos",="200",="99696833",="200 FL LCM",="20",="2:08.18",="2:08.18",="2019 Winter Juniors (SCY)",="2015 WUGS",="7/6/2015",="Unattached",="FG",="Yes",="772",="73"
="1846","Arthur, Gary",="200",="49158166",="200 FL LCM",="18",="2:08.19",="2:08.19",="""AAAA""",="2010 CA SCS/CSSC Junior Olympi",="7/29/2010",="Rattler Swim Club",="CA",="",="772",="73"
="1846","Brunette, Cody",="200",="65709705",="200 FL LCM",="20",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2012 SE Swim and Tri Olympic T",="5/31/2012",="Unattached",="VA",="",="772",="73"
="1846","Draves, Michael",="200",="121764540",="200 FL LCM",="17",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2017 NCSA Summer Champs",="8/3/2017",="Badger Aquatics Club",="WI",="",="780",="73"
="1846","Fierro, Sonny",="200",="77955396",="200 FL LCM",="19",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2013 CC Western Zone Senior Championships",="7/31/2013",="Santa Maria Swim Club",="CA",="",="772",="73"
="1846","Henley, Adam",="200",="98938623",="200 FL LCM",="20",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2015 CA Summer CA-NV Sectional",="7/16/2015",="Team Rebel Aquatics",="CA",="",="772",="73"
="1846","Hough, Tim",="200",="141082056",="200 FL LCM",="17",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2018 MN WOLF LCM State Champs",="7/28/2018",="Rochester Swim Club",="MN",="",="780",="73"
="1846","Lee, Ho-sung",="200",="119902912",="200 FL LCM",="18",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2017 CA SCS/NOVA JAG",="6/18/2017",="Irvine Novaquatics",="CA",="Yes",="772",="73"
="1846","Rogers, Nicholas",="200",="132949825",="200 FL LCM",="16",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2018 Zone Senior Champs - Huntsville",="8/1/2018",="Storm Swim Club",="FL",="",="809",="73"
="1846","Wolfe, Michael",="200",="64084940",="200 FL LCM",="15",="2:08.19",="2:08.19",="2019 Winter Juniors (SCY)",="2012 WI Speedo Champions Serie",="3/8/2012",="Waves Bloomington/Normal Y S.T.",="IL",="",="853",="73"
="1855","Bensch, Constantin",="200",="143856250",="200 FL LCM",="17",="2:08.20",="2:08.20",="2019 Futures",="2019 Summer Junior Nats",="8/6/2019",="Madison Aquatic Club",="WI",="",="780",="73"
="1855","Croan, Connor",="200",="99397487",="200 FL LCM",="19",="2:08.20",="2:08.20",="2019 Futures",="2015 OR USAS Futures ",="8/1/2015",="Aces Swim Club",="CO",="",="772",="73"
="1855","Glavich, Jonathan",="200",="67386459",="200 FL LCM",="14",="2:08.20",="2:08.20",="2019 Futures",="2012 YMCA National Long Course",="7/23/2012",="YMCA of the Triangle Area Swim Team",="NC",="",="929",="73"
="1855","Ishimaru, Kei",="200",="57921334",="200 FL LCM",="16",="2:08.20",="2:08.20",="2019 Winter Juniors (SCY)",="2011 YMCA National Long Course",="7/25/2011",="Kishwaukee YMCA Dekalb County",="IL",="",="809",="73"
="1855","Krueger, Drew",="200",="88748491",="200 FL LCM",="18",="2:08.20",="2:08.20",="2019 Futures",="2014 YMCA National Long Course",="8/1/2014",="Countryside YMCA",="OH",="",="772",="73"
="1855","McIntyre, Mason",="200",="64088514",="200 FL LCM",="16",="2:08.20",="2:08.20",="2019 Futures","2012 Speedo Champions Series, Eeast",="3/8/2012",="SwimAtlanta",="GA",="",="809",="73"
="1861","Faikish, Sean",="200",="143033203",="200 FL LCM",="17",="2:08.21",="2:08.21",="2019 Futures",="2019 MA WSY Middlle Atlantic LC Senior Champs",="7/11/2019",="North Penn Aquatic Club",="MA",="",="779",="73"
="1861","Jensen, Anders",="200",="65966704",="200 FL LCM",="24",="2:08.21",="2:08.21",="""AAAA""",="2012 MI OLY Long Course Senior",="6/15/2012",="Oakland Live Y'ers",="MI",="Yes",="771",="73"
