="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="2072","Rivera, Aramis",="400",="147465390",="400 IM SCY",="20",="4:00.42",="4:00.42",="""AAAA""",="2019 Spartan Invitational",="12/17/2019",="Unattached",="FL",="",="804",="22"
="2072","Urbano, Jake",="400",="81370446",="400 IM SCY",="18",="4:00.42",="4:00.42",="""AAAA""",="2013 HI Hawaiian Swimming Age",="12/19/2013",="Kamehameha Swim Club",="HI",="",="804",="22"
="2077","Brisco, Dylan",="400",="135946213",="400 IM SCY",="19",="4:00.43",="4:00.43",="""AAAA""",="2018 FL GSC Holiday Classic",="11/30/2018",="Gator Swim Club",="FL",="",="804",="22"
="2077","Byers, Kevin",="400",="45688805",="400 IM SCY",="19",="4:00.43",="4:00.43",="2017 US Open",="2010 CA OB Big West Swimming/D",="2/17/2010",="Unattached",="PC",="",="804",="22"
="2077","Rattray, Andrew",="400",="150191739",="400 IM SCY",="19",="4:00.43",="4:00.43",="""AAAA""",="2020 Big 12 Champs",="2/28/2020",="Unattached",="NT",="",="804",="22"
="2080","Lennon, Michael",="400",="64583957",="400 IM SCY",="17",="4:00.44",="4:00.44",="""AAAA""",="2012 NCSA Junior National Swim",="3/20/2012",="Long Island Aquatic Club",="MR",="",="821",="22"
="2080","Proper, Andrew",="400",="91709679",="400 IM SCY",="17",="4:00.44",="4:00.44",="""AAAA""",="2014 PV Speedo Tom Dolan Invitational",="12/12/2014",="Nation's Capital Swim Club",="PV",="",="821",="22"
="2082","Duenas, Benji",="400",="127938649",="400 IM SCY",="18",="4:00.45",="4:00.45",="""AAAA""",="2018 WAC Champs",="2/23/2018",="Unattached",="CC",="",="803",="22"
="2083","Aurnou-Rhees, Spencer",="400",="139746239",="400 IM SCY",="14",="4:00.46",="4:00.46",="2019 Futures",="2019 OH OSSC SC JO Championshi",="3/8/2019",="Ohio State Swim Club",="OH",="",="935",="22"
="2084","Livasy, Colin",="400",="51562312",="400 IM SCY",="19",="4:00.47",="4:00.47",="2017 US Open",="2010 Tiger Invitational",="12/3/2010",="Unattached",="MV",="",="803",="22"
="2084","Thatcher, Joel",="400",="95663759",="400 IM SCY",="17",="4:00.47",="4:00.47",="""AAAA""",="2015 FL NCSA Spring Champs",="3/19/2015",="Mason Manta Rays",="OH",="",="821",="22"
="2086","Cassidy, Quinn",="400",="69729860",="400 IM SCY",="17",="4:00.49",="4:00.49",="""AAAA""",="2012 FG Speedo Winter Champs",="11/15/2012",="Saint Andrew's Swimming",="FG",="",="820",="22"
="2086","Finnerty, Ian",="400",="126469151",="400 IM SCY",="21",="4:00.49",="4:00.49",="""AAAA""",="Louisville vs Indiana",="1/26/2018",="Unattached",="IN",="",="803",="22"
="2086","Keogh, Evan",="400",="150653787",="400 IM SCY",="14",="4:00.49",="4:00.49",="2019 Futures",="2020 FL Spring Age Group Champs",="3/6/2020",="Sarasota Tsunami Swim Team",="FL",="",="934",="22"
="2086","Koski, Matias",="400",="53221242",="400 IM SCY",="16",="4:00.49",="4:00.49",="2017 US Open",="2010 MN Grand Prix",="11/12/2010",="Dynamo Swim Club",="GA",="Yes",="831",="22"
="2090","Arthur, Will",="400",="84575877",="400 IM SCY",="16",="4:00.50",="4:00.50",="2019 Futures",="2014 SE Southern Premier",="3/7/2014",="Tennessee Aquatics",="SE",="",="831",="22"
="2090","Charles-Funk, Johnny",="400",="62961743",="400 IM SCY",="21",="4:00.50",="4:00.50",="""AAAA""",="2012 MAAC Champs",="2/16/2012",="Unattached",="NJ",="",="803",="22"
="2090","Loveless, Jack",="400",="129165536",="400 IM SCY",="18",="4:00.50",="4:00.50",="""AAAA""",="2018 VA TYR ISCA Junior Champs",="3/23/2018","Badger Swim Club,Inc.",="MR",="",="803",="22"
="2090","Serad, Will",="400",="140103772",="400 IM SCY",="17",="4:00.50",="4:00.50",="""AAAA""",="2019 KY 13 & Over SCY C",="3/22/2019",="Triton Swimming",="KY",="",="820",="22"
="2090","Welborn, Danny",="400",="84840743",="400 IM SCY",="17",="4:00.50",="4:00.50",="""AAAA""",="2014 FL AP NCSA Spring Championship",="3/18/2014","NOVA of Virginia Aquatics, Inc",="VA",="",="820",="22"
="2095","Epperson, Jake",="400",="59851958",="400 IM SCY",="21",="4:00.51",="4:00.51",="""AAAA""",="2011 SE Volunteer Invitational",="11/16/2011",="Unattached",="SE",="",="803",="22"
="2095","Silver, Tyler",="400",="105412502",="400 IM SCY",="18",="4:00.51",="4:00.51",="""AAAA""",="2016 NC SC Senior Champs",="2/19/2016",="Marlins of Raleigh",="NC",="",="803",="22"
="2097","Schauer, Wesley",="400",="147098355",="400 IM SCY",="16",="4:00.52",="4:00.52",="""AAAA""",="2019 Winter Junior Nats - East",="12/13/2019",="Dayton Raiders",="OH",="",="831",="22"
="2098","Thomas, Michael",="400",="84840174",="400 IM SCY",="18",="4:00.53",="4:00.53",="""AAAA""",="2014 FL AP NCSA Spring Championship",="3/18/2014",="Rockville Montgomery Swim Club",="PV",="",="803",="22"
="2099","Fanter, Kevin",="400",="90760542",="400 IM SCY",="19",="4:00.54",="4:00.54",="""AAAA""",="2014 NIke Cup Invitational",="11/21/2014",="Unattached",="SR",="",="802",="22"
="2100","Fong, Josh",="400",="129223247",="400 IM SCY",="16",="4:00.55",="4:00.55",="""AAAA""",="2018 NCSA Spring Championship",="3/15/2018",="Jersey Wahoos",="MA",="",="830",="22"
="2100","Hovis, Mitch",="400",="114155066",="400 IM SCY",="17",="4:00.55",="4:00.55",="""AAAA""",="2016 PN Washington State Senior SC Champs",="12/16/2016",="King Aquatic Club",="PN",="",="820",="22"
="2100","Liang-Gilman, Edwin",="400",="146921171",="400 IM SCY",="17",="4:00.55",="4:00.55",="""AAAA""",="2019 NJS PAA Thanksgiving Classic",="11/23/2019",="X-Cel Swimming",="NJ",="",="820",="22"
="2100","Staton, Jonah",="400",="113603649",="400 IM SCY",="17",="4:00.55",="4:00.55",="""AAAA""",="2016 Winter Junior Nats - West",="12/9/2016",="Jeffco Hurricanes",="CO",="",="820",="22"
="2104","Pierce, Cole",="400",="129202518",="400 IM SCY",="17",="4:00.56",="4:00.56",="""AAAA""",="2018 Sectionals - Ithaca",="3/23/2018",="Chelsea Piers Aquatic Club",="CT",="",="820",="22"
="2105","Graves, Macon",="400",="106886570",="400 IM SCY",="18",="4:00.58",="4:00.58",="""AAAA""",="2016 NCSA Spring Championship",="3/17/2016",="Huntsville Swim Association",="SE",="",="802",="22"
="2105","Sims, Danny",="400",="146248559",="400 IM SCY",="19",="4:00.58",="4:00.58",="""AAAA""",="2019 Sheraton Le Meridien Fall",="11/23/2019",="Unattached",="OH",="",="802",="22"
="2105","Yep, Jassen",="400",="140934899",="400 IM SCY",="16",="4:00.58",="4:00.58",="""AAAA""",="2019 PC SCSC SCY Walk On",="5/5/2019",="Peak Swimming",="PC",="",="830",="22"
="2108","Arata, Ryan",="400",="54745135",="400 IM SCY",="16",="4:00.59",="4:00.59",="2019 Winter Juniors (SCY)",="2011 WI WEST Speedo Champions",="3/10/2011",="Falfins Swimming",="CO",="",="830",="22"
="2108","Grothe, Zane",="400",="44297889",="400 IM SCY",="17",="4:00.59",="4:00.59",="2017 US Open",="2010 CA SO CAL GRAND PRIX",="1/15/2010",="Boulder City Henderson Swim Team",="CA",="",="819",="22"
