="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="126","Lindner, Sophie",="100",="149850368",="100 BK SCY",="19",="52.34r",="52.34",="2019 Summer Nationals (LCM)",="2020 ACC Champs women",="2/21/2020",="Unattached",="NC",="",="1018",="12"
="126","Shuppert, Emma",="100",="149850340",="100 BK SCY",="19",="52.34",="52.34",="2019 Summer Nationals (LCM)",="2020 ACC Champs women",="2/21/2020",="Unattached",="NC",="",="1018",="12"
="128","Behrens, Tess",="100",="63054804",="100 BK SCY",="19",="52.35",="52.35",="2019 Winter US Open (LCM)",="2012 Big 10 Champs women",="2/15/2012",="Unattached",="MN",="",="1017",="12"
="128","Beisel, Elizabeth",="100",="73352790",="100 BK SCY",="19",="52.35r",="52.35",="2019 Winter US Open (LCM)",="2012 SEC Champs",="2/17/2012",="Unattached",="FL",="",="1017",="12"
="130","Lepisova, Emma",="100",="149882408",="100 BK SCY",="19",="52.36",="52.36",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/21/2020",="Unattached",="IL",="",="1017",="12"
="131","Hajkova, Karolina",="100",="134996791",="100 BK SCY",="20",="52.39",="52.39",="2019 Summer Nationals (LCM)",="Art Adamson Invitational",="11/15/2018",="Unattached",="FG",="Yes",="1016",="12"
="132","Waldrep, Ellie",="100",="138178319",="100 BK SCY",="16",="52.42",="52.42",="2019 Summer Nationals (LCM)",="2019 SE TISCA TN HS Championship",="2/9/2019",="Unattached",="SE",="",="1014",="12"
="133","Martin, Ruby",="100",="74393246",="100 BK SCY",="21",="52.43r",="52.43",="2017 US Open",="2013 NCAA DI - Women",="3/21/2013",="Unattached",="WI",="",="1014",="12"
="134","Rudolph, Janelle",="100",="147099667",="100 BK SCY",="17",="52.44",="52.44",="2019 Summer Nationals (LCM)",="2019 Winter Junior Nats - West",="12/13/2019",="King Aquatic Club",="PN",="",="1013",="12"
="135","Galyer, Danielle",="100",="101688747",="100 BK SCY",="20",="52.45",="52.45",="2019 Summer Nationals (LCM)",="Ohio State Invitational",="11/21/2015",="Unattached",="KY",="",="1013",="12"
="135","Logan, Mary",="100",="84592676",="100 BK SCY",="21",="52.45",="52.45",="2017 US Open",="2014 NCAA DII ",="3/12/2014",="Unattached",="CC",="",="1013",="12"
="137","Dahlgren, Kylie",="100",="139358038",="100 BK SCY",="21",="52.46",="52.46",="2019 Summer Nationals (LCM)",="2019 Mizzou NCAA Qualifier",="3/2/2019",="Unattached",="MV",="",="1012",="12"
="138","Dupre, Cora",="100",="149882957",="100 BK SCY",="18",="52.47r",="52.47",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/20/2020",="Unattached",="IN",="",="1012",="12"
="138","Laderoute, Laura",="100",="149459911",="100 BK SCY",="21",="52.47",="52.47",="2019 Summer Nationals (LCM)",="UH  v RICE SCY  Inv 2-14-20",="2/14/2020",="Unattached",="GU",="",="1012",="12"
="138","Wu, Joanna",="100",="117745403",="100 BK SCY",="22",="52.47",="52.47",="2019 Summer Nationals (LCM)",="2017 Sectionals - Federal Way",="3/18/2017",="Central Area Aquatic Team",="PN",="",="1012",="12"
="141","Korst, Caroline",="100",="106561579",="100 BK SCY",="20",="52.49r",="52.49",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Women",="3/17/2016",="Unattached",="SE",="",="1011",="12"
="141","Noble, Kennedy",="100",="150567597",="100 BK SCY",="15",="52.49",="52.49",="2019 Summer Nationals (LCM)",="2020 AZ SC Senior Open Champs @ MAC",="3/1/2020",="YMCA Westside Silver Fins",="AZ",="",="1021",="12"
="143","Eldridge, Raena",="100",="149812569",="100 BK SCY",="23",="52.50",="52.50",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="GU",="",="1010",="12"
="144","Dahlia (Worrell), Kelsi",="100",="101704874",="100 BK SCY",="21",="52.53",="52.53",="2019 Summer Nationals (LCM)",="UofL Invitational Time Trials",="11/20/2015",="Unattached",="KY",="",="1009",="12"
="145","Lara, Krystal",="100",="149882380",="100 BK SCY",="21",="52.54",="52.54",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/21/2020",="Unattached",="IL",="Yes",="1008",="12"
="146","Smailis, Donna",="100",="45281497",="100 BK SCY",="21",="52.55",="52.55",="Summer Nationals (LCM)",="2010 B1G 10 Champs women",="2/17/2010",="Unattached",="IN",="",="1008",="12"
="147","Engel, Lindsey",="100",="106569421",="100 BK SCY",="19",="52.57",="52.57",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Women",="3/18/2016",="Unattached",="PC",="",="1007",="12"
="147","Unicomb, Jess",="100",="135487222",="100 BK SCY",="21",="52.57",="52.57",="2019 Summer Nationals (LCM)",="Texas Hall of Fame Swimming In",="11/30/2018",="Unattached",="WI",="Yes",="1007",="12"
="149","Laughlin, Téa",="100",="135966369",="100 BK SCY",="16",="52.58",="52.58",="2019 Summer Nationals (LCM)",="2018 Winter Junior Nats - West",="12/7/2018",="Buenaventura Swim Club",="CA",="",="1007",="12"
="150","Oeztuerk, Sonnele",="100",="127556188",="100 BK SCY",="19",="52.61",="52.61",="2019 Summer Nationals (LCM)",="2018 SEC Champs",="2/17/2018",="Unattached",="SE",="Yes",="1005",="12"
="151","Arcila Hurtado, Isabella",="100",="117086798",="100 BK SCY",="22",="52.64",="52.64",="2019 Summer Nationals (LCM)",="2017 American Short Course ",="3/3/2017",="Unattached",="CA",="Yes",="1004",="12"
="151","Britt, Chelsea",="100",="95541619",="100 BK SCY",="20",="52.64",="52.64",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Women",="3/20/2015",="Unattached",="FL",="",="1004",="12"
="151","Fotsch, Colleen",="100",="54326448",="100 BK SCY",="21",="52.64",="52.64",="2019 Summer Juniors (LCM)",="2011 PAC 10 Champs women",="2/23/2011",="Unattached",="PC",="",="1004",="12"
="151","Menkhaus, Julia",="100",="113601929",="100 BK SCY",="16",="52.64",="52.64",="2019 Summer Nationals (LCM)",="2016 Winter Junior Nats - East",="12/9/2016",="SwimMAC Carolina",="NC",="",="1004",="12"
="155","Cohen, Madeline",="100",="123824644",="100 BK SCY",="18",="52.65",="52.65",="2019 Summer Nationals (LCM)",="2017 Georgia Tech Fall Invitat",="11/17/2017",="Unattached",="GA",="",="1003",="12"
="155","Rudenko, Katya",="100",="90765197",="100 BK SCY",="20",="52.65",="52.65",="2019 Summer Nationals (LCM)",="Mizzou Invitational",="11/21/2014",="Unattached",="AR",="Yes",="1003",="12"
="157","Carner, Amanda",="100",="95540645",="100 BK SCY",="21",="52.66r",="52.66",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Women",="3/19/2015",="Unattached",="SE",="",="1003",="12"
="158","Cavalier, Meredith",="100",="60469746",="100 BK SCY",="20",="52.67",="52.67",="2019 Winter US Open (LCM)",="Georgia Fall Invitational",="12/2/2011",="Unattached",="VA",="",="1002",="12"
="158","White, Madison",="100",="84809869",="100 BK SCY",="19",="52.67",="52.67",="2017 US Open",="2014 NCAA DI - Women",="3/20/2014",="Unattached",="PC",="",="1002",="12"
="160","Dalesandro, Gia",="100",="116332351",="100 BK SCY",="21",="52.68",="52.68",="2019 Summer Nationals (LCM)",="2017 B1G 10 Champs women",="2/17/2017",="Unattached",="IN",="",="1002",="12"
="161","Reimer, Audrey",="100",="150194032",="100 BK SCY",="20",="52.69r",="52.69",="2019 Summer Nationals (LCM)",="2020 PAC-12 Champs women",="2/26/2020",="Unattached",="UT",="",="1001",="12"
="161","Reynolds, Sarah",="100",="105261148",="100 BK SCY",="21",="52.69",="52.69",="2019 Summer Nationals (LCM)",="2016 SEC Champs",="2/19/2016",="Unattached",="SE",="",="1001",="12"
="161","Schobel, Marie",="100",="149882986",="100 BK SCY",="20",="52.69r",="52.69",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/20/2020",="Unattached",="NJ",="",="1001",="12"
="164","Moran, Kelsey",="100",="63056988",="100 BK SCY",="21",="52.70r",="52.70",="2019 Winter US Open (LCM)",="2012 Big 10 Champs women",="2/17/2012",="Unattached",="OH",="",="1001",="12"
="164","Norman, Laura",="100",="105261140",="100 BK SCY",="20",="52.70",="52.70",="2019 Summer Nationals (LCM)",="2016 SEC Champs",="2/19/2016",="Unattached",="GU",="",="1001",="12"
="164","Pickrem, Sydney",="100",="140026786",="100 BK SCY",="21",="52.70r",="52.70",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Women",="3/21/2019",="Unattached",="GU",="Yes",="1001",="12"
="167","Hart, Maddie",="100",="146674631",="100 BK SCY",="21",="52.71",="52.71",="2019 Summer Nationals (LCM)",="PRINCETON SWIMMING BIG AL OPEN",="12/7/2019",="Unattached",="MA",="",="1000",="12"
