result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
822	Burchill, Sammie	500	114935375	500 FR SCY	17	4:49.45	4:49.45	2019 Winter Juniors (SCY)	2017 IN CSC Winter Invite	1/13/2017	Carmel Swim Club	IN		853	4	f
822	Peretti, Oceane	500	135039794	500 FR SCY	21	4:49.45	4:49.45	2019 Winter Juniors (SCY)	2018 Mizzou Invitational	11/15/2018	Unattached	FG	Yes	842	4	f
824	Basaraba, Andrea	500	70107674	500 FR SCY	19	4:49.47	4:49.47	2019 Summer Juniors (LCM)	2012 Winter Nationals	11/29/2012	Unattached	CA	Yes	841	4	f
825	Thayer, Annemarie	500	60334838	500 FR SCY	19	4:49.48	4:49.48	2019 Summer Juniors (LCM)	2011 UT Invite	12/1/2011	Unattached	PN		841	4	f
826	Francis, Riley	500	147088778	500 FR SCY	16	4:49.49	4:49.49	2019 Winter Juniors (SCY)	2019 Winter Junior Nats - West	12/12/2019	Lakeside Aquatic Club	NT		852	4	f
826	Huston, Hanna	500	91572363	500 FR SCY	18	4:49.49	4:49.49	2019 Winter Juniors (SCY)	2014 Winter Junior Nats 	12/11/2014	Katy Aquatic Team For Youth	GU		841	4	f
828	Manning, Lindsay	500	70705102	500 FR SCY	18	4:49.51	4:49.51	2019 Summer Juniors (LCM)	2012 GU AGS Senior Champs	11/30/2012	Magnolia Aquatic Club	GU		841	4	f
828	Spink, Camille	500	150648994	500 FR SCY	15	4:49.51	4:49.51	2019 Winter Juniors (SCY)	2020 PV SC Senior Championships	3/7/2020	Nation's Capital Swim Club	PV		874	4	f
830	Galyer, Danielle	500	83610048	500 FR SCY	18	4:49.52	4:49.52	2019 Winter Juniors (SCY)	2014 SEC Champs	2/18/2014	Unattached	KY		841	4	f
831	Phillips, Kimmy	500	84019174	500 FR SCY	20	4:49.54	4:49.54	2019 Winter Juniors (SCY)	2014 Big 12 Champs	2/26/2014	Unattached	ST		841	4	f
831	Sheldon, Kelly Anna	500	112602137	500 FR SCY	20	4:49.54	4:49.54	2019 Winter Juniors (SCY)	Mizzou Invitational	11/17/2016	Unattached	CO		841	4	f
831	Webb, Madelon	500	84146282	500 FR SCY	20	4:49.54	4:49.54	2019 Winter Juniors (SCY)	2014 B1G 10 Champs women	2/19/2014	Unattached	IN		841	4	f
834	Conrad, Ashley	500	149751303	500 FR SCY	18	4:49.55	4:49.55	2019 Winter Juniors (SCY)	2020 SEC Champs	2/19/2020	Unattached	GU		841	4	f
835	Hines, Brie	500	101703064	500 FR SCY	19	4:49.56	4:49.56	2019 Winter Juniors (SCY)	2015 Northwestern TYR Invitati	11/20/2015	Unattached	IL		840	4	f
835	Hoyt, Shelby	500	51649614	500 FR SCY	18	4:49.56	4:49.56	2019 Summer Juniors (LCM)	2010 Winter Juniors Nats	12/9/2010	SwimAtlanta	GA		840	4	f
835	Meckstroth, Emily	500	123823390	500 FR SCY	21	4:49.56	4:49.56	2019 Winter Juniors (SCY)	Purdue Invite 2017	11/16/2017	Unattached	IN		840	4	f
835	Powell, Jackie	500	63055532	500 FR SCY	20	4:49.56	4:49.56	2019 Summer Juniors (LCM)	2012 Big 10 Champs women	2/15/2012	Unattached	IL		840	4	f
835	Woolbright, Kate	500	51651653	500 FR SCY	18	4:49.56	4:49.56	2019 Summer Juniors (LCM)	2010 Winter Juniors Nats	12/9/2010	Southwest Stars Swim Club	FL		840	4	f
840	DeLoof, Gabby	500	126861881	500 FR SCY	21	4:49.57	4:49.57	2019 Winter Juniors (SCY)	Michigan vs Michigan State	2/2/2018	Unattached	MI		840	4	f
841	Johnston, Andi	500	124402567	500 FR SCY	19	4:49.59	4:49.59	2019 Winter Juniors (SCY)	2017 Tennessee Invitational	11/30/2017	Unattached	CO		840	4	f
841	Mortell, Sabrina	500	105280433	500 FR SCY	19	4:49.59	4:49.59	2019 Winter Juniors (SCY)	2016 Patriot League Champs	2/18/2016	Unattached	US		840	4	f
843	Scott, Morgan	500	118103909	500 FR SCY	16	4:49.61	4:49.61	2019 Winter Juniors (SCY)	2017 MA YY Middle Atlantic SC	4/1/2017	Central Bucks Swim Team	MA		851	4	f
844	Sloan, Jessica	500	83678740	500 FR SCY	18	4:49.62	4:49.62	2019 Winter Juniors (SCY)	2014 ST UIL Texas 4A State Meet	2/21/2014	Unattached	GU		840	4	f
845	Drazkowski, Ashley	500	94710404	500 FR SCY	20	4:49.63	4:49.63	2019 Winter Juniors (SCY)	2015 MAC Champs women's 	2/26/2015	Unattached	LE		840	4	f
846	Stewart, Sada	500	51651292	500 FR SCY	16	4:49.64	4:49.64	2019 Summer Juniors (LCM)	2010 Winter Juniors Nats	12/9/2010	York YMCA	MA		851	4	f
847	Doss, Abigail	500	118145273	500 FR SCY	15	4:49.65	4:49.65	2019 Winter Juniors (SCY)	2017 NC AP YMCA Short Course Nationa	4/6/2017	Greater Susquehanna Valley YMCA	MA		872	4	f
847	Larson, Syd	500	112685579	500 FR SCY	18	4:49.65	4:49.65	2019 Winter Juniors (SCY)	2016 UH Phill Hansel Inv	11/18/2016	Unattached	GU		840	4	f
849	Jones, Kaitlin	500	70146525	500 FR SCY	18	4:49.66	4:49.66	2019 Summer Juniors (LCM)	Ga Fall Invitational-2012	11/30/2012	Unattached	VA		839	4	f
849	Perez-Arau, Sonia	500	91133159	500 FR SCY	23	4:49.66	4:49.66	2019 Winter Juniors (SCY)	2014 Winter Nationals	12/4/2014	Unattached	FG	Yes	839	4	f
851	Coe, Angela	500	140350600	500 FR SCY	14	4:49.67	4:49.67	2019 Winter Juniors (SCY)	2019 NC AP YMCA SCY  Nationals	4/4/2019	Champaign Cnty YMCA	IL		898	4	f
852	Wood, Marisa	500	59894417	500 FR SCY	17	4:49.68	4:49.68	2019 Summer Juniors (LCM)	2011 MN MSHSL Girls A Swim & D	11/17/2011	Unattached	MN		850	4	f
853	Degeorge, Leah	500	145670379	500 FR SCY	18	4:49.69	4:49.69	2019 Winter Juniors (SCY)	2019 FL FHSAA Swim & Dive Champs -1A	11/9/2019	Unattached	FL		839	4	f
853	Lamoureux, Brooke	500	135210412	500 FR SCY	19	4:49.69	4:49.69	2019 Winter Juniors (SCY)	2018 Magnus Cup Invitational	11/16/2018	Unattached	LE	Yes	839	4	f
855	Fornshell, Laura	500	124293284	500 FR SCY	19	4:49.70	4:49.70	2019 Winter Juniors (SCY)	2017 UCSD A3 Performance Invit	11/16/2017	Unattached	PC		839	4	f
856	Arner, Haley	500	127127449	500 FR SCY	17	4:49.72	4:49.72	2019 Winter Juniors (SCY)	2018 GA GHSA 6-7A State 	2/2/2018	Unattached	GA		850	4	f
857	Nalls, Madison	500	149776704	500 FR SCY	19	4:49.73	4:49.73	2019 Winter Juniors (SCY)	2020 ACC Champs women	2/20/2020	Unattached	AM		839	4	f
858	Giresunlu, Yesim	500	84020491	500 FR SCY	30	4:49.74	4:49.74	2019 Winter Juniors (SCY)	2013NIKECUPINVITE	11/21/2013	Unattached	VA	Yes	839	4	f
858	McGrath, Monica	500	94714741	500 FR SCY	17	4:49.74	4:49.74	2019 Winter Juniors (SCY)	2015 KY KHSAA Championships	2/27/2015	Unattached	KY		850	4	f
860	Brandon, Loren	500	53218380	500 FR SCY	19	4:49.76	4:49.76	2019 Summer Juniors (LCM)	2010 MN Grand Prix	11/12/2010	University of Minnesota	MN		838	4	f
860	Neff, Payton	500	135018688	500 FR SCY	19	4:49.76	4:49.76	2019 Winter Juniors (SCY)	2018 Ohio State Fall Open Invi	11/15/2018	Unattached	KY		838	4	f
860	Shanley, Kathryn	500	147089148	500 FR SCY	16	4:49.76	4:49.76	2019 Winter Juniors (SCY)	2019 Winter Junior Nats - West	12/12/2019	Foothills Swim Team	CO		850	4	f
863	Ross, Lauren	500	54217176	500 FR SCY	19	4:49.77	4:49.77	2019 Summer Juniors (LCM)	2011 Big 12 Championships	2/23/2011	Unattached	ST		838	4	f
864	Carter, Olivia	500	123575287	500 FR SCY	17	4:49.78	4:49.78	2019 Winter Juniors (SCY)	2017 NC TAC Big Southern Class	11/10/2017	Enfinity Aquatic Club	NC		849	4	f
865	Bratton, Lisa	500	123826927	500 FR SCY	21	4:49.79	4:49.79	2019 Winter Juniors (SCY)	Art Adamson Invitational Worki	11/16/2017	Unattached	GU		838	4	f
866	Halmy, Dorothy	500	80880025	500 FR SCY	15	4:49.80	4:49.80	2019 Winter Juniors (SCY)	2013 Winter Junior Nats	12/12/2013	The Woodlands Swim Team	GU		871	4	f
867	Westphal, Laura	500	117864729	500 FR SCY	18	4:49.81	4:49.81	2019 Winter Juniors (SCY)	2017 FL NCSA Spring Champs	3/17/2017	Novi Sturgeons	MI		838	4	f
868	Allen, Mara	500	150455808	500 FR SCY	17	4:49.82	4:49.82	2019 Winter Juniors (SCY)	2020 Sectionals - Carlsbard	2/28/2020	Sierra Marlins Swim Team	SN		849	4	f
868	Fredlake, Grace	500	45267790	500 FR SCY	18	4:49.82	4:49.82	2019 Summer Juniors (LCM)	2010 Big East Champs	2/17/2010	Unattached	FL		838	4	f
870	Chew, Lauren	500	94364508	500 FR SCY	21	4:49.83	4:49.83	2019 Winter Juniors (SCY)	2015 American Ath. Conf. 	2/19/2015	Unattached	NC		838	4	f
870	Harrington, Rachel	500	55348622	500 FR SCY	18	4:49.83	4:49.83	2019 Summer Juniors (LCM)	2011 YMCA Nationals Short Cour	4/5/2011	Sarasota YMCA Sharks	FL		838	4	f
872	Ganihanova, Aziza	500	140351498	500 FR SCY	16	4:49.84	4:49.84	2019 Winter Juniors (SCY)	2019 NC AP YMCA SCY  Nationals	4/4/2019	Somerset Valley YMCA	NJ		849	4	f
873	Henig, Izzi	500	113584379	500 FR SCY	16	4:49.85	4:49.85	2019 Winter Juniors (SCY)	2016 Winter Junior Nats - West	12/8/2016	Palo Alto Stanford Aquatics	PC		849	4	f
873	Vitort, Lauren	500	112021198	500 FR SCY	16	4:49.85	4:49.85	2019 Winter Juniors (SCY)	2016  CA Kevin B. Perry Senior	11/4/2016	Irvine Novaquatics	CA		849	4	f
875	Poole, Julia	500	117883914	500 FR SCY	18	4:49.86	4:49.86	2019 Winter Juniors (SCY)	2017 NC TAC TITANS Tar Heel St	3/24/2017	Marlins of Raleigh	NC		837	4	f
876	Bencic, Carrie	500	73898222	500 FR SCY	18	4:49.87	4:49.87	2019 Summer Juniors (LCM)	2013 LE NEOhio High School Dis	2/16/2013	Unattached	LE		837	4	f
876	Ward, Taylor	500	128109115	500 FR SCY	16	4:49.87	4:49.87	2019 Winter Juniors (SCY)	2018 FL Spring Senior Champs	2/24/2018	Clearwater Aquatic Team	FL		849	4	f
878	Anderson, Ellen	500	101701906	500 FR SCY	21	4:49.89	4:49.89	2019 Winter Juniors (SCY)	2015 Northwestern TYR Invitati	11/20/2015	Unattached	IL		837	4	f
878	Majeau, Fiona	500	60334117	500 FR SCY	18	4:49.89	4:49.89	2019 Summer Juniors (LCM)	2011 UT Invite	12/1/2011	Unattached	PN		837	4	f
880	Loht, Claire	500	55386163	500 FR SCY	18	4:49.90	4:49.90	2019 Summer Juniors (LCM)	2011 MA OB PIAA AAA Girls High	3/16/2011	Unattached	MA		837	4	f
880	Neas, Ashley	500	149751476	500 FR SCY	19	4:49.90	4:49.90	2019 Winter Juniors (SCY)	2020 SEC Champs	2/19/2020	Unattached	KY		837	4	f
882	Ecker, Emily	500	147088395	500 FR SCY	17	4:49.94	4:49.94	2019 Winter Juniors (SCY)	2019 Winter Junior Nats - East	12/12/2019	Portland Porpoise Swim Club	ME		848	4	f
882	Giberson, Sara	500	60333627	500 FR SCY	19	4:49.94	4:49.94	2019 Summer Juniors (LCM)	2011 UT Invite	12/1/2011	Unattached	PC		836	4	f
882	Halsted, Tara	500	90685802	500 FR SCY	19	4:49.94	4:49.94	2019 Winter Juniors (SCY)	Art Adamson Invitational	11/20/2014	Unattached	PC		836	4	f
882	Payne (Otto), Courtney	500	58474804	500 FR SCY	17	4:49.94	4:49.94	2019 Summer Juniors (LCM)	2011 NCSA Jr National Swimming	3/15/2011	STAR Swimming	NI		848	4	f
886	Boswell (Christian), Quincy	500	80049427	500 FR SCY	21	4:49.95	4:49.95	2019 Winter Juniors (SCY)	2013 UH Phill Hansel Inv	11/21/2013	Unattached	GU		836	4	f
886	Grindall, Dana	500	94413614	500 FR SCY	19	4:49.95	4:49.95	2019 Winter Juniors (SCY)	2015 B1G 10 Champs Women	2/19/2015	Unattached	WI		836	4	f
888	Arnold, Jessie	500	105246324	500 FR SCY	19	4:49.96	4:49.96	2019 Winter Juniors (SCY)	2016 ACC Champs women	2/18/2016	Unattached	VA		836	4	f
888	Locus, Madeline	500	46250404	500 FR SCY	16	4:49.96	4:49.96	2019 Summer Juniors (LCM)	2010 FL NCSA Junior Natl Swimming	3/16/2010	First Colony Swim Team, Inc.	GU		848	4	f
890	Stanfield, Stacey	500	90686744	500 FR SCY	20	4:49.97	4:49.97	2019 Winter Juniors (SCY)	Art Adamson Invitational	11/20/2014	Unattached	LA		836	4	f
891	Chelsvig, Kallie	500	149230114	500 FR SCY	17	4:49.98	4:49.98	2019 Winter Juniors (SCY)	2020 SE TISCA State High School 	2/8/2020	Unattached	SE		847	4	f
892	Lundstrom, Heather	500	101787952	500 FR SCY	21	4:49.99	4:49.99	2019 Winter Juniors (SCY)	November Invite	11/20/2015	Unattached	SE		836	4	f
893	Bradley, Emma	500	124391657	500 FR SCY	19	4:50.00	4:50.00	2019 Winter Juniors (SCY)	2017 OH Miami University Invit	11/30/2017	Unattached	MI		836	4	f
893	St Rose-Finear, Syd	500	146251969	500 FR SCY	19	4:50.00	4:50.00	2019 Winter Juniors (SCY)	2019 House of Champions	11/22/2019	Unattached	OH		836	4	f
895	Barber, Lauren	500	95628816	500 FR SCY	18	4:50.01	4:50.01	2019 Winter Juniors (SCY)	2015 VA EZ S. Region Speedo Ch	3/21/2015	Jewish Community Ctr Sailfish	AM		836	4	f
895	Jonsson, Annika	500	90677584	500 FR SCY	21	4:50.01	4:50.01	2019 Winter Juniors (SCY)	2014 H2Okie Fall Invitational	11/20/2014	Unattached	SC		836	4	f
897	Locke, Elise	500	75407726	500 FR SCY	17	4:50.02	4:50.02	2019 Summer Juniors (LCM)	2013 PC CCS Championship - obs	5/10/2013	Unattached	PC		847	4	f
898	Rehring, Jaclin	500	69574263	500 FR SCY	22	4:50.04	4:50.04	2019 Summer Juniors (LCM)	2012 UH Phill Hansel Inv	11/15/2012	Unattached	GU		835	4	f
899	Beattie, Jenna	500	123822225	500 FR SCY	19	4:50.05	4:50.05	2019 Winter Juniors (SCY)	Purdue Invite 2017	11/16/2017	Unattached	VA		835	4	f
900	Jones, Lainee	500	146152534	500 FR SCY	20	4:50.07	4:50.07	2019 Winter Juniors (SCY)	2019 Mizzou Invitational	11/20/2019	Unattached	CO		835	4	f
901	Morris, Kasey	500	45977133	500 FR SCY	18	4:50.08	4:50.08	2019 Summer Juniors (LCM)	2010 VA SC Senior Championship	3/4/2010	Tidewater Aquatic Club	VA		835	4	f
902	Ferry, Grace	500	102546234	500 FR SCY	17	4:50.09	4:50.09	2019 Winter Juniors (SCY)	2015 Winter Junior Nats - East	12/10/2015	Dynamo Swim Club	GA		846	4	f
903	Knapp, Sophia	500	150070889	500 FR SCY	15	4:50.10	4:50.10	2019 Winter Juniors (SCY)	2020 PV OB VHSL Class 5 State Meet	2/21/2020	Unattached	VA		867	4	f
903	Peacock, Selah	500	105920903	500 FR SCY	17	4:50.10	4:50.10	2019 Winter Juniors (SCY)	2016 MD SWIMMING SENIOR CHAMPS	2/27/2016	North Baltimore Aquatic Club	MD		846	4	f
905	Huang, Salena	500	73720316	500 FR SCY	19	4:50.11	4:50.11	2019 Summer Juniors (LCM)	2013 Ivy League Champs women	2/28/2013	Unattached	MR		835	4	f
905	Marvin, Payton	500	139586418	500 FR SCY	17	4:50.11	4:50.11	2019 Winter Juniors (SCY)	2019 Sectionals - College Station	3/1/2019	Nitro Swimming	ST		846	4	f
907	Eid, Nathalie	500	138943738	500 FR SCY	20	4:50.12	4:50.12	2019 Winter Juniors (SCY)	2019 IVY League Champ women	2/21/2019	Unattached	CT		835	4	f
907	Johnson, Rachel	500	60360650	500 FR SCY	19	4:50.12	4:50.12	2019 Summer Juniors (LCM)	2011 Zippy Invitational	12/2/2011	Unattached	OH		835	4	f
909	Pulte, Mollie	500	101690266	500 FR SCY	19	4:50.13	4:50.13	2019 Winter Juniors (SCY)	Ohio State Invitational	11/20/2015	Unattached	FL		835	4	f
910	Beale, Natalie	500	46375580	500 FR SCY	16	4:50.14	4:50.14	2019 Summer Juniors (LCM)	2010 PV EZ South Reg Speedo Champs Series	3/25/2010	North Baltimore Aquatic Club	MD		846	4	f
911	Marsh, Jessica	500	58474294	500 FR SCY	18	4:50.15	4:50.15	2019 Summer Juniors (LCM)	2011 NCSA Jr National Swimming	3/15/2011	Unattached	CA		834	4	f
911	Miller, Grace	500	150500511	500 FR SCY	17	4:50.15	4:50.15	2019 Winter Juniors (SCY)	2020 MA OB NJ High School States - Meet of Champs	2/29/2020	Morris County Swim Club LLC	NJ		846	4	f
