result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1181	Prenot, Josh	200	55276580	200 BK LCM	17	2:07.72	2:07.72	2019 Winter US Open (LCM)	2011 Pro Series - Ann Arbor	4/8/2011	Santa Maria Swim Club	CA		821	67	m
1181	Smith, Gavin	200	132971431	200 BK LCM	16	2:07.72	2:07.72	2019 Winter Juniors (SCY)	2018 FG Senior Championships-C	7/27/2018	North Palm Beach Swim Club	FG		864	67	m
1181	Whang, Justin	200	143343920	200 BK LCM	16	2:07.72	2:07.72	2019 Winter Juniors (SCY)	2019 MR Senior Mets Summer LC Championships	7/21/2019	Long Island Express	MR		864	67	m
1184	Brown, Zach	200	121191993	200 BK LCM	17	2:07.73	2:07.73	AAAA	2017 NC LC SR Championships	7/23/2017	Marlins of Raleigh	NC		821	67	m
1184	Kramer, Ethan	200	88553746	200 BK LCM	16	2:07.73	2:07.73	2019 Winter Juniors (SCY)	2014 IN NCSA Summer Swimming Cham	8/5/2014	Bluegrass Marlins Swim Team	KY		864	67	m
1184	Lane, Austin	200	132828571	200 BK LCM	15	2:07.73	2:07.73	2019 Winter Juniors (SCY)	2018 Summer Junior Nats	8/1/2018	Clovis Swim Club	CC		909	67	m
1187	Brown, Nick	200	95910178	200 BK LCM	18	2:07.74	2:07.74	2019 Winter Juniors (SCY)	2015 NE SSA IMX Challenge	4/11/2015	Bluefish Swim Club	NE		809	67	m
1188	Bley-Male, Max	200	67789125	200 BK LCM	17	2:07.75	2:07.75	2019 Summer Juniors (LCM)	2012 Summer Junior Nats	8/13/2012	Multnomah Athletic Club	OR		820	67	m
1188	Norton, Aaron	200	67739529	200 BK LCM	20	2:07.75	2:07.75	2019 Summer Juniors (LCM)	2012 GU TWST SCS LC Sectional	7/31/2012	Metroplex Aquatics	NT		809	67	m
1188	Singley, Ted	200	48387895	200 BK LCM	16	2:07.75	2:07.75	2019 Winter US Open (LCM)	2010 ST Texas Senior Circuit Long	7/8/2010	North Texas Nadadores	NT		863	67	m
