result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1249	Dinunzio, Bobby	1500	143757257	1500 FR LCM	14	16:26.71	16:26.71	2019 Futures	2019 Futures - Geneva	8/1/2019	Tide Swimming	VA		895	60	m
1250	Hare, Kyle	1500	143757657	1500 FR LCM	17	16:26.79	16:26.79	AAAA	2019 Futures - Geneva	8/1/2019	South Jersey Aquatic Club	MA		779	60	m
1251	Hyde, Jacob	1500	110065693	1500 FR LCM	17	16:26.81	16:26.81	AAAA	2016 FL Swimming Summer Senior	7/24/2016	Central Florida Marlins	FL		779	60	m
1252	Anderson, Ryan	1500	88520983	1500 FR LCM	17	16:26.83	16:26.83	AAAA	2014 VA Eastern Zone LC Champi	8/6/2014	Pine Richland Aquatics	AM		779	60	m
1253	Reinhardt, Alex	1500	48970098	1500 FR LCM	19	16:26.84	16:26.84	2019 Winter Juniors (SCY)	2010 OR Speedo Western Section LC	7/20/2010	Greenwood Tiger Sharks	CO		778	60	m
1254	Corsetti, Peter	1500	132910637	1500 FR LCM	17	16:26.85	16:26.85	AAAA	2018 NCSA Summer Swimming Champ	8/4/2018	OLY Swimming	MI		779	60	m
1255	Loughlin, Conall	1500	67268451	1500 FR LCM	17	16:26.86	16:26.86	AAAA	2012 MA Middle Atlantic Senior	7/18/2012	Germantown Academy Aquatic  Club	MA		779	60	m
1256	Martin, Andrew	1500	143922000	1500 FR LCM	18	16:26.90	16:26.90	AAAA	2019 WI LC 13&O State Meet	8/1/2019	Badger Aquatics Club	WI		778	60	m
1257	Hernandez, Jose Luis	1500	56683071	1500 FR LCM	18	16:26.92	16:26.92	2019 Winter Juniors (SCY)	2011 Pro Swim - Santa Clara	6/16/2011	Bolles School Sharks	FL	Yes	778	60	m
1258	Waller, Kevin	1500	77808208	1500 FR LCM	19	16:27.01	16:27.01	AAAA	2013 U.S. Open 	7/30/2013	Wyoming Aquatics	WY		778	60	m
1259	Jyawook, Samuel	1500	141180412	1500 FR LCM	19	16:27.03	16:27.03	AAAA	2019 MD Abby Seeger Memorial 	5/11/2019	Unattached	MD		778	60	m
1259	Patrum, Billy	1500	88322607	1500 FR LCM	20	16:27.03	16:27.03	AAAA	2014 NI - Speedo Summer- July	7/24/2014	STAR Swimming	NI		778	60	m
1261	Walkley, Nick	1500	143832784	1500 FR LCM	16	16:27.06	16:27.06	AAAA	2019 Zone AG Champs -Fresno 	7/30/2019	Tri-city Channel Cats	IE		796	60	m
1262	Feher, Sean	1500	65741988	1500 FR LCM	19	16:27.11	16:27.11	AAAA	2012 Mutual of Omaha Swimvitational	6/8/2012	Rockwood Swim Club	OZ		778	60	m
1263	Ordaz, Eric	1500	77596647	1500 FR LCM	16	16:27.13	16:27.13	2019 Futures	2013 FL SZS Summer Sectionals	7/18/2013	T2 Aquatics	FL		796	60	m
1264	Hacker, Andrew	1500	67165529	1500 FR LCM	18	16:27.15	16:27.15	AAAA	2012 CA LOS ANGELES INVITATION	7/12/2012	Team Santa Monica	CA		778	60	m
1264	Miller, John	1500	88060080	1500 FR LCM	18	16:27.15	16:27.15	AAAA	2014 LA Long Course State Championship	7/17/2014	Crawfish Aquatics	LA		778	60	m
1264	Soleo, Will	1500	132410531	1500 FR LCM	16	16:27.15	16:27.15	AAAA	2018 NCS LC SR Championships	7/22/2018	Unattached	NC		796	60	m
1267	Krigeris, Michael	1500	132738624	1500 FR LCM	17	16:27.17	16:27.17	AAAA	2018 NJ LC Junior Olympics	7/29/2018	X-Cel Swimming	NJ		778	60	m
1268	Turner, Ryan	1500	58222701	1500 FR LCM	17	16:27.19	16:27.19	2019 Winter Juniors (SCY)	2011 Summer Junior Nats	8/8/2011	Sarasota YMCA Sharks	FL		778	60	m
1269	Hamilton, Alex	1500	98770466	1500 FR LCM	19	16:27.20	16:27.20	AAAA	2015 GA LC Speedo Sectionals	7/12/2015	NC STATE	NC	Yes	777	60	m
1270	Hollowsky, Liam	1500	85436937	1500 FR LCM	16	16:27.22	16:27.22	2019 Futures	2014 Pro Series - Orlando	2/13/2014	T2 Aquatics	FL		796	60	m
1270	Ward, Colby	1500	49217737	1500 FR LCM	21	16:27.22	16:27.22	2019 Winter Juniors (SCY)	2010 Summer Nationals	8/3/2010	Spartan Swim Club	MI		777	60	m
1272	Melsha, Will	1500	132991462	1500 FR LCM	15	16:27.31	16:27.31	AAAA	2018 Futures - Rochester	8/2/2018	Great Wolf Swim Team	MN		824	60	m
1272	Myburgh, Keith	1500	88235221	1500 FR LCM	14	16:27.31	16:27.31	2019 Futures	2014 VA LC AG Champs- CAC	7/24/2014	Virginia Gators	VA		894	60	m
1274	Gaines, Matthew	1500	131579654	1500 FR LCM	16	16:27.35	16:27.35	AAAA	2018 SE Richard Quick Invitati	6/24/2018	Dynamo Swim Club	GA		795	60	m
1275	Yong, Brandon	1500	88367347	1500 FR LCM	15	16:27.38	16:27.38	2019 Futures	2014 Summer Junior Nats	7/30/2014	Canyons Aquatic Club	CA		824	60	m
1276	Conde, Chance	1500	132550761	1500 FR LCM	16	16:27.39	16:27.39	AAAA	2018 FL Senior LC Championship	7/22/2018	Bolles School Sharks	FL		795	60	m
1277	Pebley, Jacob	1500	48969936	1500 FR LCM	16	16:27.44	16:27.44	2019 Winter Juniors (SCY)	2010 OR Speedo Western Section LC	7/20/2010	Corvallis Aquatic Team	OR		795	60	m
1277	Snively, Aidan	1500	132554153	1500 FR LCM	18	16:27.44	16:27.44	2019 Futures	2018 FL Senior LC Championship	7/22/2018	Patriot Aquatics	FL		777	60	m
1279	Brougham, Jakob	1500	143768771	1500 FR LCM	16	16:27.46	16:27.46	AAAA	2019 Futures - Greensboro 	8/1/2019	Saint Augustine Swim Team	FL		795	60	m
1280	Huang, Hubert	1500	143746300	1500 FR LCM	15	16:27.47	16:27.47	AAAA	2019 FL TYR ISCA Summer Senior Ch	7/30/2019	Commonwealth Swimming	NE		824	60	m
1281	Flach, Michael	1500	47696687	1500 FR LCM	19	16:27.49	16:27.49	2019 Winter Juniors (SCY)	2010 Pro Swim - Santa Clara	6/17/2010	Carolina Aquatics	SC		777	60	m
1282	Ramirez, Javi	1500	121767512	1500 FR LCM	17	16:27.55	16:27.55	2019 Futures	2017 NCSA Summer Champs	8/5/2017	Long Island Aquatic Club	MR		777	60	m
1283	Tyrrell, Jamie	1500	65746590	1500 FR LCM	20	16:27.56	16:27.56	AAAA	2012 SN Summer Sanders Invitation	6/8/2012	Unattached	PC		777	60	m
1284	Williamson, Max	1500	67723950	1500 FR LCM	17	16:27.61	16:27.61	AAAA	2012 Ohio Senior LC Championsh	7/26/2012	Northern KY Clippers Swimming	OH		777	60	m
1285	Capotosti, Matteo	1500	143465772	1500 FR LCM	17	16:27.63	16:27.63	2019 Futures	2019 MD Sandbox Invitational	7/14/2019	Calvert Aquatics Club	MD	Yes	777	60	m
1286	Ginoza, Makena	1500	143772532	1500 FR LCM	17	16:27.66	16:27.66	2019 Futures	2019 Futures - Mt Hood	8/1/2019	Kamehameha Swim Club	HI		777	60	m
1287	Rolfsen, Isaac	1500	132748366	1500 FR LCM	17	16:27.67	16:27.67	2019 Futures	2018 MI 13-14 & Open LC State	7/29/2018	Southwest Y Michigan Swimming	MI		777	60	m
1288	Lawson, Jake	1500	121144353	1500 FR LCM	17	16:27.72	16:27.72	2019 Futures	2017 VA LC SR Championships	7/20/2017	Virginia Gators	VA		777	60	m
1289	Medins, Brandon	1500	99516727	1500 FR LCM	17	16:27.78	16:27.78	AAAA	2015 LC Y Nationals w TT	8/3/2015	YMCA of the Triangle Area Swim Team	NC		777	60	m
1290	Waddell, Matthew	1500	132366980	1500 FR LCM	18	16:27.86	16:27.86	2019 Futures	2018 Sectionals - Santa Clarita	7/22/2018	La Mirada Armada	CA		776	60	m
1291	Betts, Ian	1500	58222436	1500 FR LCM	18	16:27.89	16:27.89	2019 Winter Juniors (SCY)	2011 Summer Junior Nats	8/8/2011	Mansfield Aquatic Club	NT		776	60	m
1292	Hamel, Dirk	1500	67676369	1500 FR LCM	16	16:27.94	16:27.94	2019 Futures	2012 NT LC Southern Zone Champ	7/31/2012	Sarasota YMCA Sharks	FL		794	60	m
1292	Law, Kyle	1500	48969089	1500 FR LCM	16	16:27.94	16:27.94	2019 Winter Juniors (SCY)	2010 OR Speedo Western Section LC	7/20/2010	Portland Aquatic Club	OR	Yes	794	60	m
1294	Cunningham, Andy	1500	87934804	1500 FR LCM	20	16:27.95	16:27.95	AAAA	2014 CA Los Angeles Invite	7/17/2014	Swim Utah	UT		776	60	m
1294	Vargas, Nicholas	1500	67598659	1500 FR LCM	17	16:27.95	16:27.95	AAAA	2012 CA Summer CA NV Gold Sect	7/25/2012	Buenaventura Swim Club	CA		776	60	m
1296	Gartland, Sean	1500	87140489	1500 FR LCM	18	16:27.98	16:27.98	AAAA	2014 CA TYR_MVN Fran Crippen M	6/26/2014	North Coast Aquatics	SI		776	60	m
1296	Wars, Jonas	1500	149798863	1500 FR LCM	16	16:27.98	16:27.98	AAAA	2020 FL Swimming OT Qualifier	2/17/2020	Area Tallahassee Aquatic Club	FL		794	60	m
1298	Atherton, Alex	1500	143290907	1500 FR LCM	16	16:28.00	16:28.00	AAAA	2019 NC LC SR Championships	7/21/2019	SwimMAC Carolina	NC		794	60	m
1298	Troxel, Kristian	1500	57726422	1500 FR LCM	16	16:28.00	16:28.00	2019 Futures	2011 MV CSRVIII SUMMER  LC SPE	7/20/2011	Gator Swim Team	OZ		794	60	m
1300	Poff, Trey	1500	98771971	1500 FR LCM	18	16:28.04	16:28.04	AAAA	2015 GA LC Speedo Sectionals	7/12/2015	SwimMAC Carolina	NC		775	60	m
1301	Sidorov, Vladimir	1500	87384768	1500 FR LCM	17	16:28.06	16:28.06	AAAA	2014 FL BSS TYR Summer Classic	6/26/2014	Unattached	FL		776	60	m
1302	Langlois, Daniel	1500	143794967	1500 FR LCM	16	16:28.09	16:28.09	AAAA	2019 Futures Des Moines	8/1/2019	Barrington Swim Club	IL		793	60	m
1303	Oberg, Max	1500	139586805	1500 FR LCM	16	16:28.10	16:28.10	AAAA	2019 Sectionals - College Station	3/3/2019	Magnolia Aquatic Club	GU		793	60	m
